id	category	type	work_name	unit
645	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Восстановление водоупорных свойств железобетона безнапорным инъектированием (стен, потолков, приямков)	м. пог.
646	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Инъектирование деформационных швов методом наклейки гидроизоляционной ленты	м. пог.
647	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Инъектирование карт мембранной гидроизоляции площадью от 100м2 ремонтной смесью (1 комплект 41,5кг) через инъекционную трубку	шт
648	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Инъектирование применение коэфициентов: 1,1- вредность, 1,1- стеснонность, 1,1 - высота ( Прописывать в заголовках смет )	
649	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Инъектирование трещин ж/б конструкций по предустановленным пакерам	м. пог.
650	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Установка пакеров для инъектирования трещин ж/б конструкций	м. пог.
651	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Устройство гидроизоляции / пароизоляции вертикальной из пленки ПВХ	м2
652	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Устройство гидроизоляции вертикальной: из ПВХ мембран (типа Logicroof)со сваркой стыков и испытанием	м2
653	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Устройство гидроизоляции вертикальной: из профилированной мембраны (геомембрана)	м2
654	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Устройство гидроизоляции вертикальной: обмазочной битумной с устройством лесов и подмостей	м2
655	ГИДРОИЗОЛЯЦИОННЫЕ РАБОТЫ	Гидроизоляция	Устройство гидроизоляции вертикальной: оклеечной с устройством лесов и подмостей	м2
