id	category	type	work_name	unit
679	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Устройство временных защитных покрытий дверей Оргалитом (2 стороны) с обмоткой стреч пленкой (2 стороны) (V по S двери c1й стороны)	м2
680	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Устройство временных защитных покрытий дверей стреч пленкой (Обмотка с 2х сторон)	м2
681	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Сдача входных квартирных дверей (в т.ч. устранение замечаний, регулировка, подкраска, замена уплотнителей, и т.д.) ( 10.23г.)	шт
682	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Установка блоков во внутренних дверных проемах КОММЕРЧЕСКИХ квартир: межкомнатных	шт
683	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Установка в дверных проемах: МЕТАЛЛИЧЕСКОЙ черновой коробки КВАРТИРНОЙ входной двери ( 10.23г )	шт
684	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Установка в дверных проемах: чистовой рамы с дверным полотном металлической квартирной входной двери ( 010.23г )	шт
685	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Установка дверных блоков металлических Квартирных (входных)	шт
686	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Установка заполнений металлических дверей: панель МДФ	м2
687	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери квартирные	Устройство дверных фрамуг декоративных из МДФ вклееном на стальном каркасе	шт
688	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Изготовление временных дверей (Изготовление коробки из бруса, каркаса с обшивкой оргалитом)	шт
689	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Монтаж теплового контура внутри помещений: зашивка вентшахт, дверных проемов, выходов пленкой с устройством деревянного каркаса.	м2
690	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Монтаж теплового контура внутри помещений: проемов, вент. шахт (каркас из бруса с утеплителем и зашивкой оргалитом с 2х сторон)	м2
691	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Установка временных дверей деревянных (тепловой контур) (Монтаж коробки из бруса, навешивание полотна)	шт
692	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Установка дверных блоков Алюминиевых с остеклением	шт
693	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Установка дверных блоков металлических с остеклением	шт
694	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лестничной клетки и тамбур-шлюза	Установка стеклопакетов в двери (металлические; алюминиевые) (в т.ч. разгрузка, затарка к месту монтажа, монтаж, регулировка, сдача экспл.)	м2
695	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лифтового холла	Установка дверных блоков Алюминиевых с остеклением	шт
696	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лифтового холла	Установка дверных блоков металлических с остеклением	шт
697	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери лифтового холла	Установка стеклопакетов в двери (металлические; алюминиевые) (в т.ч. разгрузка, затарка к месту монтажа, монтаж, регулировка, сдача экспл.)	м2
698	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери МОП	Разноска дверей	шт
699	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери МОП	Сдача дверных блоков МОП эксплуатации (в т.ч. устранение замечаний, регулировка, подкраска, замена уплотнителей, и т.д.) (по с/з)	шт
700	ДВЕРИ, ЛЮКИ, ВОРОТА	Двери МОП	Установка дверных блоков металлических глухих (утепленных, противопожарных)	шт
