id	category	type	work_name	unit
1	БЛАГОУСТРОЙСТВО	Водоотводные лотки благоустройства	Монтаж решетки лотков ливневой канализации	м.п.
2	БЛАГОУСТРОЙСТВО	Водоотводные лотки благоустройства	Устройство сборных ж/б лотков ливневой канализации (без решетки)	м.п.
3	БЛАГОУСТРОЙСТВО	Водоотводные лотки благоустройства	Бетонирование столбов	м3
4	БЛАГОУСТРОЙСТВО	Деревья	Защита деревьев деревянными ограждениями 25 мм	м3
5	БЛАГОУСТРОЙСТВО	Деревья	Посадка деревьев с подготовкой посадочных мест	шт
6	БЛАГОУСТРОЙСТВО	МАФ	Монтаж композиции из декоративных минеральных камней весом до 10кг	м2
7	БЛАГОУСТРОЙСТВО	МАФ	Монтаж композиции из декоративных элементов (камни, шары, спилы деревьев и т. п.)	м2
8	БЛАГОУСТРОЙСТВО	МАФ	Монтаж клумб металлических (подпорных стенок клумб)	м.п.
9	БЛАГОУСТРОЙСТВО	МАФ	Монтаж деревянного ограждения территории детской площадки	м.п.
10	БЛАГОУСТРОЙСТВО	МАФ	Сборка и установка малых архитектурных форм	шт
11	БЛАГОУСТРОЙСТВО	МАФ	Монтаж колесоотбойника: композитного, резинового (два места крепления на анкер)	шт
12	БЛАГОУСТРОЙСТВО	Металлоконструкции	Монтаж декоративного стального троса в ограждениях многофункциональных (крепление рым болтов, зажимов, троса, колпачков)	м.п.
13	БЛАГОУСТРОЙСТВО	Металлоконструкции	Изготовление и монтаж секций ограждения территории (из трубы профильной)	м.п.
14	БЛАГОУСТРОЙСТВО	Металлоконструкции	Монтаж ограждения территории из готовых секций и столбов с бетонированием 01.24г)	м.п.
15	БЛАГОУСТРОЙСТВО	Металлоконструкции	Монтаж секций ограждения территории благоустройства	м.п.
16	БЛАГОУСТРОЙСТВО	Металлоконструкции	Монтаж стойки (столба) ограждения территории (из трубы металлической)	шт
17	БЛАГОУСТРОЙСТВО	Озеленение	Выкашивание газонов (с уборкой скошенной травы)	м2
18	БЛАГОУСТРОЙСТВО	Озеленение	Выкашивание газонов (с уборкой скошенной травы)	м2
19	БЛАГОУСТРОЙСТВО	Озеленение	Отсыпка декоративная из мраморной крошки (разноцветная) до t=0,05м	м2
20	БЛАГОУСТРОЙСТВО	Озеленение	Полив (ручной) газонов водой	м2
21	БЛАГОУСТРОЙСТВО	Озеленение	Посадка кустарников с подготовкой посадочных мест	шт
22	БЛАГОУСТРОЙСТВО	Озеленение	Посадка цветов	шт
23	БЛАГОУСТРОЙСТВО	Озеленение	Посев (вручную) газонной травы на подготовленное основание	м2
24	БЛАГОУСТРОЙСТВО	Озеленение	Укладка газонной георешетки (рулонной)	м2
25	БЛАГОУСТРОЙСТВО	Озеленение	Укладка георешетки бетонной (до 4шт на 1м2) (экопарковка)	м2
26	БЛАГОУСТРОЙСТВО	Озеленение	Укладка георешетки ПВХ (экопарковка)	м2
27	БЛАГОУСТРОЙСТВО	Озеленение	Укладка рулонного газона	м2
28	БЛАГОУСТРОЙСТВО	Озеленение	Устройство дренажного слоя из профилированной мембраны (геомембрана)	м2
29	БЛАГОУСТРОЙСТВО	Озеленение	Устройство изоляции прокладочной из пленки ПВХ	м2
30	БЛАГОУСТРОЙСТВО	Озеленение	Устройство разделительного слоя из геотекстиля	м2
31	БЛАГОУСТРОЙСТВО	Озеленение	Устройство растительного слоя	м3
32	БЛАГОУСТРОЙСТВО	Озеленение	Штыковка почвы	м2
33	БЛАГОУСТРОЙСТВО	Озеленение	Штыковка почвы	м2
34	БЛАГОУСТРОЙСТВО	Озеленение	Доводка колодцев до проектной отметки благоустройства	шт
35	БЛАГОУСТРОЙСТВО	Озеленение	Полив зеленых насаждений (по табелю + с/з)	ч/ч
36	БЛАГОУСТРОЙСТВО	Подпорные стены (в т.ч. габионы)	Заполнение "Габионов" (камнем, щебенем, гравием)	м3
37	БЛАГОУСТРОЙСТВО	Подпорные стены (в т.ч. габионы)	Изготовление и монтаж ограждающих конструкций "Габионов"	т
38	БЛАГОУСТРОЙСТВО	Подпорные стены (в т.ч. габионы)	Устройство железобетонной подпорной стены	м3
39	БЛАГОУСТРОЙСТВО	Подпорные стены (в т.ч. габионы)	Устройство фундаментов подпорных стен (в т.ч. дизайн)	м3
41	БЛАГОУСТРОЙСТВО	Финишные покрытия	Монтаж опорного профиля под террасную доску	м2
42	БЛАГОУСТРОЙСТВО	Финишные покрытия	Монтаж покрытия террасной доской ДПК (древесно-полимерный композит)	м2
43	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство покрытия детской площадки (резиновой крошкой)	м2
44	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство рулонного покрытия из резиновой крошки на площадках	м2
45	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство железобетонных конструкций: замок под бюрдюрный камень (в т.ч. изготовление опалубки, заливка, дизайн)	м3
46	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство асфальтобетонных покрытий дорог, площадок, тротуаров и отмостков	м2
47	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство асфальтового покрытия внутридомовых проездов и площадок	м2
48	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство гидроизоляции: проливка битумом по щебню	м2
49	БЛАГОУСТРОЙСТВО	Финишные покрытия	Армирование бетонного основания под дороги, площадки (для благоустройства) арматурой	м2
50	БЛАГОУСТРОЙСТВО	Финишные покрытия	Армирование бетонного основания под дороги, площадки (для благоустройства) сеткой дорожной	м2
51	БЛАГОУСТРОЙСТВО	Финишные покрытия	Устройство бетонного основания под дороги, площадки (без армирования)	м3
