base_type	col	table_code	table_name	norm_code	unit	norm_name
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-01	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 1
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-02	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 2
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-03	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 3
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-04	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 4
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-05	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 5
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-06	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунтов 6
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-07	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунтов 1
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-08	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунтов 2
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-09	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунтов 3
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-10	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунтов 4
ГЭСН	01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью 	01-01-001-11	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунтов 5
