base_type	col	table_code	table_name	norm_code	unit	norm_name
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-01	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: до 2
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-02	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 2 до 3
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-03	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 3 до 4
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-04	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 4 до 6
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-05	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 6
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-06	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: до 2
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-07	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 2 до 3
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-08	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 3 до 4
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-09	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 4 до 6
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-10	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 6
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-11	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: до 2
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-12	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: свыше 2 до 3
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-13	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: свыше 3 до 4
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-14	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: свыше 4 до 6
ГЭСН	15	15-01-001	Облицовка стен гранитными плитами	15-01-001-15	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: свыше 6
ГЭСН	15	15-01-002	Облицовка стен плитами из известняка, мрамора и травертина	15-01-002-01	100 м2	Облицовка стен плитами из известняка толщиной 60 мм при числе плит в 1 м2: до 2
ГЭСН	15	15-01-002	Облицовка стен плитами из известняка, мрамора и травертина	15-01-002-02	100 м2	Облицовка стен плитами из известняка толщиной 60 мм при числе плит в 1 м2: до 3
ГЭСН	15	15-01-002	Облицовка стен плитами из известняка, мрамора и травертина	15-01-002-03	100 м2	Облицовка стен плитами из известняка толщиной 60 мм при числе плит в 1 м2: до 4
ГЭСН	15	15-01-002	Облицовка стен плитами из известняка, мрамора и травертина	15-01-002-04	100 м2	Облицовка стен плитами из известняка толщиной 60 мм при числе плит в 1 м2: до 6
