base_type	col	table_code	table_name	norm_code	unit	norm_name
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-01	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 65 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-02	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 80 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-03	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 100 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-04	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 125 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-05	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 150 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-06	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 200 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-07	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 250 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-08	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 300 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-09	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 350 мм
ГЭСН	22	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	22-01-006-10	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 400 мм
