norm_code	table_code	table_name	division	unit	norm_name
01-01-001-01	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-02	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-03	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-04	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-05	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-06	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 15 м3, группа грунт
01-01-001-07	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-08	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-09	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-10	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-11	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-12	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 10 м3, группа грунт
01-01-001-13	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-14	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-15	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-16	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-17	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-18	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 6,3-6,5 м3, группа 
01-01-001-19	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-001-20	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-001-21	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-001-22	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-001-23	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-001-24	01-01-001	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал экскаваторами "драглайн" одноковшовыми электрическими шагающими при работе на гидроэнергетическом строительстве с ковшом вместимостью: 5-6 м3, группа грун
01-01-006-01	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 1
01-01-006-02	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 2
01-01-006-03	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 3
01-01-006-04	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 1
01-01-006-05	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 2
01-01-006-06	01-01-006	Разработка грунта в отвал в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,4; 0,	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в котлованах объемом до 500 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 3
01-01-007-01	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 1
01-01-007-02	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 2
01-01-007-03	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 3
01-01-007-04	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 4
01-01-007-05	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 5
01-01-007-06	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов: 6
01-01-007-07	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 1
01-01-007-08	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 2
01-01-007-09	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов: 3
01-01-007-10	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 1
01-01-007-11	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 2
01-01-007-12	01-01-007	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,5; 0	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом до 1000 м3 экскаваторами с ковшом вместимостью 0,25 м3, группа грунтов: 3
01-01-008-01	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 1
01-01-008-02	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 2
01-01-008-03	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 3
01-01-008-04	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 4
01-01-008-05	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 5
01-01-008-06	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимостью 0,65 м3, группа грунтов: 6
01-01-008-07	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 1
01-01-008-08	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 2
01-01-008-09	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 3
01-01-008-10	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 4
01-01-008-11	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 5
01-01-008-12	01-01-008	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3 экскаваторами с ковшом вместимость	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в отвал в котлованах объемом от 1000 до 3000 м3, экскаваторами с ковшом вместимостью 0,5 м3, группа грунтов: 6
01-01-009-01	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 1
01-01-009-02	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 2
01-01-009-03	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 3
01-01-009-04	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 4
01-01-009-05	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 5
01-01-009-06	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 1 (1-1,2) м3, группа грунтов: 6
01-01-009-07	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 1
01-01-009-08	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 2
01-01-009-09	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 3
01-01-009-10	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 4
01-01-009-11	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 5
01-01-009-12	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов: 6
01-01-009-13	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 1
01-01-009-14	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 2
01-01-009-15	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 3
01-01-009-16	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 4
01-01-009-17	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 5
01-01-009-18	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка грунта в траншеях экскаватором «обратная лопата» с ковшом вместимостью 0,5 (0,5-0,63) м3, в отвал группа грунтов: 6
01-01-009-19	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка траншей экскаватором «обратная лопата» с ковшом вместимостью 0,4 м3, группа грунтов: 1
01-01-009-20	01-01-009	Разработка грунта в траншеях экскаваторами "обратная лопата" с ковшом вместимостью 1; 0,65; 0,5; 0,4	РАЗРАБОТКА ГРУНТА ЭКСКАВАТОРАМИ В ОТВАЛ	1000 м3	Разработка траншей экскаватором «обратная лопата» с ковшом вместимостью 0,4 м3, группа грунтов: 2
