norm_code	table_code	table_name	division	unit	norm_name
08-01-052-01	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор опорный напряжением: до 10 кВ, количество точек крепления 1
08-01-052-02	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор опорный напряжением: до 10 кВ, количество точек крепления 2
08-01-052-03	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор опорный напряжением: до 10 кВ, количество точек крепления 4
08-01-052-04	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор опорный напряжением: до 20 кВ
08-01-052-05	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор проходной с овальным или квадратным фланцем напряжением: до 10 кВ
08-01-052-06	08-01-052	Изоляторы	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Изолятор проходной с овальным или квадратным фланцем напряжением: до 20 кВ
08-01-053-01	08-01-053	Трансформаторы тока	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Трансформатор тока напряжением: до 10 кВ
08-01-053-02	08-01-053	Трансформаторы тока	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Трансформатор тока напряжением: до 20 кВ
08-01-054-01	08-01-054	Трансформаторы напряжения	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Трансформатор напряжением: до 10 кВ, однофазный
08-01-054-02	08-01-054	Трансформаторы напряжения	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Трансформатор напряжением: до 10 кВ, трехфазный
08-01-054-03	08-01-054	Трансформаторы напряжения	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Трансформатор напряжением: до 20 кВ, трехфазный
08-01-055-01	08-01-055	Разъединители однополюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель однополюсный с одной тягой напряжением до 10 кВ, ток: до 600 А
08-01-055-02	08-01-055	Разъединители однополюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель однополюсный с одной тягой напряжением до 10 кВ, ток: до 1000 А
08-01-055-03	08-01-055	Разъединители однополюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель однополюсный с одной тягой напряжением до 10 кВ, ток: до 3000 А
08-01-055-04	08-01-055	Разъединители однополюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель однополюсный с одной тягой напряжением до 10 кВ, ток: до 5000 А
08-01-056-01	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель трехполюсный напряжением: до 10 кВ, ток до 600 А
08-01-056-02	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель трехполюсный напряжением: до 10 кВ, ток до 1000 А
08-01-056-03	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель трехполюсный напряжением: до 10 кВ, ток до 4000 А
08-01-056-04	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Разъединитель трехполюсный напряжением: до 20 кВ, ток до 1000 А
08-01-056-05	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	компл	Разъединитель трехполюсный напряжением: до 20 кВ, ток до 8000 А
08-01-056-06	08-01-056	Разъединители трехполюсные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	компл	Разъединитель трехполюсный напряжением: до 20 кВ, ток до 12500 А
08-01-057-01	08-01-057	Приводы к разъединителям	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Приводы к разъединителям с одной тягой: рычажный
08-01-057-02	08-01-057	Приводы к разъединителям	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Приводы к разъединителям с одной тягой: червячный
08-01-057-03	08-01-057	Приводы к разъединителям	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Приводы к разъединителям с одной тягой: моторный
08-01-057-04	08-01-057	Приводы к разъединителям	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Каждая дополнительная тяга
08-01-058-01	08-01-058	Выключатели нагрузки	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Выключатель нагрузки с приводом: ручным
08-01-058-02	08-01-058	Выключатели нагрузки	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Выключатель нагрузки с приводом: электромагнитным
08-01-059-01	08-01-059	Выключатели масляные	РАСПРЕДЕЛИТЕЛЬНЫЕ УСТРОЙСТВА ЗАКРЫТЫЕ 3-20 КВ	шт	Выключатель масляный: ВМПП, ВК или ВКЭ с приводом
