norm_code	table_code	table_name	division	unit	norm_name
10-01-014-01	10-01-014	Кроссы	КРОССЫ	стрейф	Кросс абонентских линий
10-01-014-02	10-01-014	Кроссы	КРОССЫ	стрейф	Кросс соединительных линий
10-02-030-01	10-02-030	Аппараты телефонные	АППАРАТЫ ТЕЛЕФОННЫЕ	шт	Аппарат телефонный системы ЦБ или АТС: настольный
10-02-030-02	10-02-030	Аппараты телефонные	АППАРАТЫ ТЕЛЕФОННЫЕ	шт	Аппарат телефонный системы ЦБ или АТС: настенный
10-02-030-03	10-02-030	Аппараты телефонные	АППАРАТЫ ТЕЛЕФОННЫЕ	шт	Таксофон и аппарат телефонный в сырых помещениях
10-02-030-04	10-02-030	Аппараты телефонные	АППАРАТЫ ТЕЛЕФОННЫЕ	компл	Сигнализация выносная для телефонных аппаратов, устанавливаемых в шумозащитных кабинах
10-02-030-05	10-02-030	Аппараты телефонные	АППАРАТЫ ТЕЛЕФОННЫЕ	компл	Грозозащита для воздушных абонентских линий
10-08-001-01	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы ПС приемно-контрольные, пусковые, концентратор: блок базовый на 10 лучей
10-08-001-02	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы ПС приемно-контрольные, пусковые, концентратор: блок базовый на 20 лучей
10-08-001-03	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	10 лучей	Приборы ПС приемно-контрольные, пусковые, концентратор: блок линейный
10-08-001-04	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы ПС на: 4 луча
10-08-001-05	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы ПС на: 1 луч
10-08-001-06	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы приемно-контрольные сигнальные, концентратор: блок базовый на 10 лучей
10-08-001-07	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	10 лучей	Приборы приемно-контрольные сигнальные, концентратор: блок линейный
10-08-001-08	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Прибор ОПС на 4 луча
10-08-001-09	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы приемно-контрольные объектовые на: 2 луча
10-08-001-10	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Приборы приемно-контрольные объектовые на: 1 луч
10-08-001-11	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Устройства промежуточные на количество лучей: 10
10-08-001-12	10-08-001	Аппараты приемные	ЭЛЕКТРИЧЕСКАЯ ТРЕВОЖНАЯ И ПОЖАРНАЯ СИГНАЛИЗАЦИЯ	шт	Устройства промежуточные на количество лучей: 5
