norm_code	table_code	table_name	division	unit	norm_name
12-01-001-01	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 15-25 мм
12-01-001-02	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 32-50 мм
12-01-001-03	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 65-80 мм
12-01-001-04	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 100 мм
12-01-001-05	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 125 мм
12-01-001-06	12-01-001	Трубопроводы из водогазопроводных труб с фитингами на резьбе	ТРУБОПРОВОДЫ ИЗ ТРУБ УГЛЕРОДИСТЫХ И КАЧЕСТВЕННЫХ СТАЛЕЙ	100 м	Трубопровод из водогазопроводных труб с фитингами на резьбе, номинальный диаметр: 150 мм
12-03-001-01	12-03-001	Трубопроводы из углеродистой стали для воды, пара и мазута на условное давление до 4 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды, пара и мазута на номинальное давление до 4 МПа, диаметр наружный: 14-18 мм, толщина стенки 2 мм
12-03-001-02	12-03-001	Трубопроводы из углеродистой стали для воды, пара и мазута на условное давление до 4 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды, пара и мазута на номинальное давление до 4 МПа, диаметр наружный: 25-32 мм, толщина стенки 2 мм
12-03-001-03	12-03-001	Трубопроводы из углеродистой стали для воды, пара и мазута на условное давление до 4 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды, пара и мазута на номинальное давление до 4 МПа, диаметр наружный: 38-45 мм, толщина стенки 2,5 мм
12-03-001-04	12-03-001	Трубопроводы из углеродистой стали для воды, пара и мазута на условное давление до 4 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды, пара и мазута на номинальное давление до 4 МПа, диаметр наружный: 57 мм, толщина стенки 3 мм
12-03-001-05	12-03-001	Трубопроводы из углеродистой стали для воды, пара и мазута на условное давление до 4 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды, пара и мазута на номинальное давление до 4 МПа, диаметр наружный: 76 мм, толщина стенки 3 мм
12-03-002-01	12-03-002	Трубопроводы из углеродистой стали для воды и пара на условное давление до 6,3 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды и пара на номинальное давление до 6,3 МПа, диаметр наружный: 16 мм, толщина стенки 2 мм
12-03-002-02	12-03-002	Трубопроводы из углеродистой стали для воды и пара на условное давление до 6,3 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды и пара на номинальное давление до 6,3 МПа, диаметр наружный: 28 мм, толщина стенки 3 мм
12-03-002-03	12-03-002	Трубопроводы из углеродистой стали для воды и пара на условное давление до 6,3 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды и пара на номинальное давление до 6,3 МПа, диаметр наружный: 38 мм, толщина стенки 3 мм
12-03-002-04	12-03-002	Трубопроводы из углеродистой стали для воды и пара на условное давление до 6,3 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды и пара на номинальное давление до 6,3 МПа, диаметр наружный: 57 мм, толщина стенки 3,5 мм
12-03-002-05	12-03-002	Трубопроводы из углеродистой стали для воды и пара на условное давление до 6,3 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды и пара на номинальное давление до 6,3 МПа, диаметр наружный: 76 мм, толщина стенки 3,5 мм
12-03-003-01	12-03-003	Трубопроводы из углеродистой стали для воды на условное давление 20 и 25 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды на номинальное давление 20 и 25 МПа, диаметр наружный: 16 мм, толщина стенки 2 мм
12-03-003-02	12-03-003	Трубопроводы из углеродистой стали для воды на условное давление 20 и 25 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из углеродистой стали для воды на номинальное давление 20 и 25 МПа, диаметр наружный: 28 мм, толщина стенки 3 мм
12-03-004-01	12-03-004	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 10 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 10 МПа, диаметр наружный: 16 мм, толщина стенки 2,5 мм
12-03-004-02	12-03-004	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 10 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 10 МПа, диаметр наружный: 28 мм, толщина стенки 3 мм
12-03-004-03	12-03-004	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 10 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 10 МПа, диаметр наружный: 57 мм, толщина стенки 3,5 мм
12-03-005-01	12-03-005	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 20 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 20 МПа, диаметр наружный: 16 мм, толщина стенки 2,5 мм
12-03-005-02	12-03-005	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 20 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 20 МПа, диаметр наружный: 28 мм, толщина стенки 3 мм
12-03-005-03	12-03-005	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 20 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 20 МПа, диаметр наружный: 76 мм, толщина стенки 7 мм
12-03-006-01	12-03-006	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 40 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 40 МПа, диаметр наружный: 16 мм, толщина стенки 2,5 мм
12-03-006-02	12-03-006	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 40 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 40 МПа, диаметр наружный: 28 мм, толщина стенки 3 мм
12-03-006-03	12-03-006	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 40 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 40 МПа, диаметр наружный: 28 мм, толщина стенки 4,5 мм
12-03-006-04	12-03-006	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 40 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 40 МПа, диаметр наружный: 76 мм, толщина стенки 9 мм
12-03-006-05	12-03-006	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 40 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 40 МПа, диаметр наружный: 76 мм, толщина стенки 13 мм
12-03-007-01	12-03-007	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 80 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 80 МПа, диаметр наружный: 16 мм, толщина стенки 3,5 мм
12-03-007-02	12-03-007	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 80 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 80 МПа, диаметр наружный: 28 мм, толщина стенки 6 мм
12-03-007-03	12-03-007	Трубопроводы из легированной стали 12Х1МФ для пара на условное давление 80 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из легированной стали 12Х1МФ для пара на номинальное давление 80 МПа, диаметр наружный: 57 мм, толщина стенки 13 мм
12-03-008-01	12-03-008	Трубопроводы из низколегированной стали 15ГС для воды на условное давление 25 и 50 МПа	ТРУБОПРОВОДЫ ИЗ ДЕТАЛЕЙ	т	Трубопровод из низколегированной стали 15ГС для воды на номинальное давление 25 и 50 МПа, диаметр наружный: 16 мм, толщина стенки 2,5 мм
