norm_code	table_code	table_name	division	unit	norm_name
06-01-001-01	06-01-001	Устройство бетонной подготовки и фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство бетонной подготовки
06-01-001-13	06-01-001	Устройство бетонной подготовки и фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство фундаментов-столбов: бетонных
06-01-001-14	06-01-001	Устройство бетонной подготовки и фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство фундаментов-столбов: бутобетонных
06-01-001-21	06-01-001	Устройство бетонной подготовки и фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство ленточных фундаментов: бутобетонных
06-01-005-01	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство бетонных фундаментов общего назначения объемом: до 5 м3
06-01-005-02	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство бетонных фундаментов общего назначения объемом: свыше 5 до 25 м3
06-01-005-03	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство бетонных фундаментов общего назначения объемом: свыше 25 м3
06-01-005-04	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство железобетонных фундаментов общего назначения объемом: до 5 м3
06-01-005-05	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство железобетонных фундаментов общего назначения объемом: свыше 5 до 25 м3
06-01-005-06	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Устройство железобетонных фундаментов общего назначения объемом: свыше 25 м3
06-01-005-07	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Дополнительные затраты на устройство: колодцев для анкерных болтов
06-01-005-08	06-01-005	Устройство фундаментов общего назначения	ФУНДАМЕНТЫ	100 м3	Дополнительные затраты на устройство: сложных фундаментов
06-03-001-01	06-03-001	Устройство опалубки (снизу) и поддерживающих ее конструкций для высоких ростверков	ПРОЧИЕ РАБОТЫ	100 м2	Устройство опалубки (снизу) и поддерживающих ее конструкций для высоких ростверков
06-03-002-01	06-03-002	Устройство подливки	ПРОЧИЕ РАБОТЫ	100 м2	Устройство подливки толщиной 20 мм
06-03-002-02	06-03-002	Устройство подливки	ПРОЧИЕ РАБОТЫ	100 м2	На каждые 10 мм изменения толщины добавлять или исключать к норме 06-03-002-01
06-03-003-01	06-03-003	Укладка бетона по перекрытиям	ПРОЧИЕ РАБОТЫ	100 м2	Укладка бетона по перекрытиям толщиной 100 мм
06-03-003-02	06-03-003	Укладка бетона по перекрытиям	ПРОЧИЕ РАБОТЫ	100 м2	На каждые 10 мм изменения толщины добавлять или исключать к норме 06-03-003-01
06-03-004-01	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка анкерных болтов: в готовые гнезда с заделкой длиной до 1 м
06-03-004-02	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка анкерных болтов: в готовые гнезда с заделкой длиной свыше 1 м
06-03-004-03	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка анкерных болтов: при бетонировании со связями из арматуры
06-03-004-04	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка анкерных болтов: при бетонировании на поддерживающие конструкции
06-03-004-05	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка анкерных болтов: при бетонировании в виде сваренных каркасов
06-03-004-06	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	100 шт	Установка анкерных болтов: механических с контролем момента затяжки
06-03-004-07	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	100 шт	Установка анкерных болтов: химических клеевых
06-03-004-08	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	100 шт	Установка анкерных болтов: химических анкер-капсул, диаметр отверстия до 18 мм
06-03-004-09	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	100 шт	Установка анкерных болтов: химических анкер-капсул, диаметр отверстия свыше 18 до 30 мм
06-03-004-10	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка стальных конструкций, остающихся в теле бетона
06-03-004-11	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка закладных деталей весом: до 4 кг
06-03-004-12	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка закладных деталей весом: свыше 4 до 20 кг
06-03-004-13	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Установка закладных деталей весом: свыше 20 кг
06-03-004-14	06-03-004	Установка анкерных болтов	ПРОЧИЕ РАБОТЫ	т	Армирование подстилающих слоев и набетонок
06-03-005-01	06-03-005	Сварка арматуры ванным способом	ПРОЧИЕ РАБОТЫ	100 шт	Сварка арматуры ванным способом при диаметре арматуры: до 25 мм
06-03-005-02	06-03-005	Сварка арматуры ванным способом	ПРОЧИЕ РАБОТЫ	100 шт	Сварка арматуры ванным способом при диаметре арматуры: до 32 мм
06-03-005-03	06-03-005	Сварка арматуры ванным способом	ПРОЧИЕ РАБОТЫ	100 шт	Сварка арматуры ванным способом при диаметре арматуры: до 40 мм
06-03-006-01	06-03-006	Технологический электропрогрев бетона	ПРОЧИЕ РАБОТЫ	м3	Технологический электропрогрев бетона
06-03-007-01	06-03-007	Устройство деформационного осадочного шва фундаментов под оборудование с заполнением битумом	ПРОЧИЕ РАБОТЫ	100 м	Устройство деформационного осадочного шва фундаментов под оборудование с заполнением битумом при толщине шва 25 мм, глубине 20 см
06-03-008-01	06-03-008	Канатная алмазная резка монолитных железобетонных конструкций	ПРОЧИЕ РАБОТЫ	м2 поверхности резки	Канатная алмазная резка монолитных железобетонных конструкций
06-03-009-01	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Установка стержневой композитной арматуры в опалубку монолитной ж/б обоймы трубы водостока диаметром: 8 мм
06-03-009-02	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Установка стержневой композитной арматуры в опалубку монолитной ж/б обоймы трубы водостока диаметром: 10 мм
06-03-009-03	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Установка стержневой композитной арматуры в опалубку монолитной ж/б обоймы трубы водостока диаметром: 12 мм
06-03-009-04	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Раскладка и вязка композитной арматуры отдельными стержнями при армировании фундаментных плит диаметром: 18 мм
06-03-009-05	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Раскладка и вязка композитной арматуры отдельными стержнями при армировании фундаментных плит диаметром: 20 мм
06-03-009-06	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Раскладка и вязка композитной арматуры отдельными стержнями при армировании фундаментных плит диаметром: 22 мм
06-03-009-07	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Изготовление пространственного каркаса из отдельных стержней композитной арматуры диаметром до 16 мм
06-03-009-08	06-03-009	Установка арматурных изделий при сооружении композитобетонных конструкций	ПРОЧИЕ РАБОТЫ	т	Раскладка и вязка композитной арматуры отдельными стержнями при армировании цементобетонного основания дорожного полотна
06-03-010-01	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 6 мм
06-03-010-02	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 8 мм
06-03-010-03	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 10 мм
06-03-010-04	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 12 мм
06-03-010-05	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 14 мм
06-03-010-06	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 16 мм
06-03-010-07	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 18 мм
06-03-010-08	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 20 мм
06-03-010-09	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 22 мм
06-03-010-10	06-03-010	Изготовление арматурных пространственных каркасов в построечных условиях	ПРОЧИЕ РАБОТЫ	т	Изготовление арматурных пространственных каркасов в построечных условиях, диаметром: 25 мм
