norm_code	table_code	table_name	division	unit	norm_name
08-01-001-01	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Устройство из бутового камня фундаментов с применением мастики горячей: ленточных
08-01-001-02	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Устройство из бутового камня фундаментов: столбовых
08-01-001-03	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Устройство из бутового камня фундаментов: массивов шириной более 2 м
08-01-001-04	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня без облицовки с применением мастики горячей: при высоте этажа до 4 м
08-01-001-05	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня без облицовки с применением мастики горячей: при высоте этажа свыше 4 м
08-01-001-06	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики горячей: только проемов при высоте этажа до 4 м
08-01-001-07	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики горячей: только проемов при высоте этажа свыше 4 м
08-01-001-08	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики горячей: с одной стороны и проемов при высоте этажа до 4 м
08-01-001-09	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики горячей: с одной стороны и проемов при высоте этажа свыше 4 м
08-01-001-10	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Устройство из бутового камня фундаментов с применением мастики холодной: ленточных
08-01-001-11	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня без облицовки с применением мастики холодной: при высоте этажа до 4 м
08-01-001-12	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня без облицовки с применением мастики холодной: при высоте этажа свыше 4 м
08-01-001-13	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики холодной: только проемов при высоте этажа до 4 м
08-01-001-14	08-01-001	Устройство фундаментов, кладка стен	КОНСТРУКЦИИ ИЗ БУТОВОГО КАМНЯ, ГИДРОИЗОЛЯЦИЯ И ОСНОВАНИЯ ПОД	м3	Кладка стен из бутового камня с облицовкой кирпичом с применением мастики холодной: только проемов при высоте этажа свыше 4 м
