norm_code	table_code	table_name	division	unit	norm_name
11-01-001-01	11-01-001	Уплотнение грунта	ПОЛЫ	100 м2	Уплотнение грунта: гравием
11-01-001-02	11-01-001	Уплотнение грунта	ПОЛЫ	100 м2	Уплотнение грунта: щебнем
11-01-002-01	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: песчаных
11-01-002-02	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: шлаковых
11-01-002-03	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: гравийных
11-01-002-04	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: щебеночных
11-01-002-05	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: глинобитных без добавок
11-01-002-06	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: глинобитных с маслянистыми добавками
11-01-002-07	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: глинобитных с добавкой щебня
11-01-002-08	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: глинобетонных
11-01-002-09	11-01-002	Устройство подстилающих слоев	ПОЛЫ	м3	Устройство подстилающих слоев: бетонных
11-01-003-01	11-01-003	Устройство уплотняемых самоходными катками подстилающих слоев	ПОЛЫ	м3	Устройство уплотняемых самоходными катками подстилающих слоев: шлаковых
11-01-003-02	11-01-003	Устройство уплотняемых самоходными катками подстилающих слоев	ПОЛЫ	м3	Устройство уплотняемых самоходными катками подстилающих слоев: гравийных
11-01-003-03	11-01-003	Устройство уплотняемых самоходными катками подстилающих слоев	ПОЛЫ	м3	Устройство уплотняемых самоходными катками подстилающих слоев: щебеночных
11-01-004-01	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции оклеечной рулонными материалами: на мастике битумной с минеральными кислотоупорными наполнителями и армирующей добавкой, первый слой
11-01-004-02	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции оклеечной рулонными материалами: на мастике битумной с минеральными кислотоупорными наполнителями и армирующей добавкой, последующий слой
11-01-004-03	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции оклеечной рулонными материалами: на резино-битумной мастике, первый слой
11-01-004-04	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции оклеечной рулонными материалами: на резино-битумной мастике, последующий слой
11-01-004-05	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции обмазочной: в один слой толщиной 2 мм
11-01-004-06	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции обмазочной: на каждый последующий слой толщиной 1 мм добавлять к норме 11-01-004-05
11-01-004-07	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции обмазочной: холодной асфальтовой мастикой в один слой толщиной 2 мм
11-01-004-08	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции обмазочной: на каждый последующий слой толщиной 1 мм добавлять к норме 11-01-004-07
11-01-004-09	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции обмазочной: в один слой праймером
11-01-004-10	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Гидроизоляция полов полимерной мастикой с устройством армирующего слоя из стеклоткани: в 3 слоя
11-01-004-11	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Гидроизоляция полов полимерной мастикой с устройством армирующего слоя из стеклоткани: на каждый последующий слой добавлять или исключать к норме 11-01-004-10
11-01-004-12	11-01-004	Устройство гидроизоляции	ПОЛЫ	100 м2	Устройство гидроизоляции из полиэтиленовой пленки на акриловой мастике
