norm_code	table_code	table_name	division	unit	norm_name
15-01-001-01	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: до 2
15-01-001-02	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 2 до 3
15-01-001-03	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 3 до 4
15-01-001-04	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 4 до 6
15-01-001-05	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами полированными толщиной до 40 мм при числе плит в 1 м2: свыше 6
15-01-001-06	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: до 2
15-01-001-07	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 2 до 3
15-01-001-08	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 3 до 4
15-01-001-09	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 4 до 6
15-01-001-10	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами шлифованными, термообработанными, бучардированными толщиной до 100 мм при числе плит в 1 м2: свыше 6
15-01-001-11	15-01-001	Облицовка стен гранитными плитами	ОБЛИЦОВКА ПОВЕРХНОСТЕЙ ПРИРОДНЫМ КАМНЕМ И ЛИНЕЙНЫМИ ФАСОННЫМ	100 м2	Облицовка стен гранитными плитами с поверхностью "под скалу" толщиной до 150 мм при числе плит в 1 м2: до 2
