norm_code	table_code	table_name	division	unit	norm_name
16-01-001-01	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 65 мм
16-01-001-02	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 80 мм
16-01-001-03	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 100 мм
16-01-001-04	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 125 мм
16-01-001-05	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 150 мм
16-01-001-06	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 200 мм
16-01-001-07	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 250 мм
16-01-001-08	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 300 мм
16-01-001-09	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 350 мм
16-01-001-10	16-01-001	Прокладка в траншеях труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка в траншеях труб чугунных напорных раструбных диаметром: 400 мм
16-01-002-01	16-01-002	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных диаметром: 65 мм
16-01-002-02	16-01-002	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных диаметром: 80 мм
16-01-002-03	16-01-002	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных диаметром: 100 мм
16-01-002-04	16-01-002	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных диаметром: 125 мм
16-01-002-05	16-01-002	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных	ТРУБОПРОВОДЫ ИЗ ЧУГУННЫХ ТРУБ	100 м	Прокладка по стенам зданий и в каналах труб чугунных напорных раструбных диаметром: 150 мм
