norm_code	table_code	table_name	division	unit	norm_name
22-01-006-01	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 65 мм
22-01-006-02	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 80 мм
22-01-006-03	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 100 мм
22-01-006-04	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 125 мм
22-01-006-05	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 150 мм
22-01-006-06	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 200 мм
22-01-006-07	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 250 мм
22-01-006-08	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 300 мм
22-01-006-09	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 350 мм
22-01-006-10	22-01-006	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом	ТРУБЫ ЧУГУННЫЕ	км	Укладка водопроводных чугунных напорных раструбных труб при заделке раструбов хризотилцементом диаметром: 400 мм
