norm_code	table_code	table_name	division	unit	norm_name
27-02-010-01	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней бетонных: при цементобетонных покрытиях
27-02-010-02	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней бетонных: при других видах покрытий
27-02-010-03	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней природных: при цементобетонных покрытиях
27-02-010-04	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней природных: при других видах покрытий
27-02-010-05	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней с креплением компенсаторов из пенополиэтилена в местах стыков: бетонных длиной 1 м
27-02-010-06	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней с креплением компенсаторов из пенополиэтилена в местах стыков: природных длиной до 1,5 м
27-02-010-07	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней с креплением компенсаторов из пенополиэтилена в местах стыков: природных длиной свыше 1,5 м
27-02-010-08	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней бетонных газонных и садовых: при цементобетонных покрытиях
27-02-010-09	27-02-010	Установка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка бортовых камней бетонных газонных и садовых: при других видах покрытий
27-02-011-01	27-02-011	Установка природных бортовых гранитных камней типа 3ГП	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Установка природных бортовых гранитных камней типа 3ГП
27-02-015-01	27-02-015	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими форма	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	10 м	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими формами: на комбинированном участке (сочетание прямого и радиусного участков)
27-02-015-02	27-02-015	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими форма	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	10 м	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими формами: на прямом участке
27-02-015-03	27-02-015	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими форма	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	10 м	Устройство бортового камня из монолитного бетона бетоноукладчиком-планировщиком со скользящими формами: на радиусном участке
27-02-022-01	27-02-022	Резка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 резов	Резка бортовых камней: бетонных
27-02-022-02	27-02-022	Резка бортовых камней	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 резов	Резка бортовых камней: природных
27-02-027-01	27-02-027	Укладка и обратная засыпка гофрированных полимерных труб ливневой канализации	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	10 м	Укладка гофрированных полимерных труб ливневой канализации, диаметр 0,4 м
27-02-027-02	27-02-027	Укладка и обратная засыпка гофрированных полимерных труб ливневой канализации	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	10 м3	Устройство обратной засыпки труб ливневой канализации
27-02-031-01	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: до 110 мм
27-02-031-02	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: свыше 110 до 160 мм
27-02-031-03	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 200 мм
27-02-031-04	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 300 мм
27-02-031-05	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 400 мм
27-02-031-06	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с чугунными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 500 мм
27-02-031-07	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с бетонными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: свыше 110 до 160 мм
27-02-031-08	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с бетонными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 200 мм
27-02-031-09	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с бетонными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 300 мм
27-02-031-10	27-02-031	Устройство сборных бетонных водоотводных лотков на подготовленные основания	ДРЕНАЖНЫЕ И ВОДОСБРОСНЫЕ УСТРОЙСТВА	100 м	Устройство бетонных водоотводных лотков с бетонными решетками (крышками) на подготовленные основания, диаметр гидравлического сечения: 400 мм
