norm_code	table_code	table_name	division	unit	norm_name
03-01-127-01	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 3,2 т, высота подъема 3 м
03-01-127-02	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 3,2 т, высота подъема 6 м
03-01-127-03	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 3,2 т, высота подъема 9 м
03-01-127-04	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 3,2 т, высота подъема 12 м
03-01-127-05	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 5 т, высота подъема 3 м
03-01-127-06	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 5 т, высота подъема 6 м
03-01-127-07	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 5 т, высота подъема 9 м
03-01-127-08	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 5 т, высота подъема 12 м
03-01-127-09	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 8 т, высота подъема 3 м
03-01-127-10	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 8 т, высота подъема 6 м
03-01-127-11	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 8 т, высота подъема 9 м
03-01-127-12	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная стационарная, грузоподъемность: 8 т, высота подъема 12 м
03-01-127-13	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 3,2 т, высота подъема 3 м
03-01-127-14	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 3,2 т, высота подъема 6 м
03-01-127-15	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 3,2 т, высота подъема 9 м
03-01-127-16	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 3,2 т, высота подъема 12 м
03-01-127-17	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 5 т, высота подъема 3 м
03-01-127-18	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 5 т, высота подъема 6 м
03-01-127-19	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 5 т, высота подъема 9 м
03-01-127-20	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 5 т, высота подъема 12 м
03-01-127-21	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 8 т, высота подъема 3 м
03-01-127-22	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 8 т, высота подъема 6 м
03-01-127-23	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 8 т, высота подъема 9 м
03-01-127-24	03-01-127	Тали ручные стационарные и передвижные	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль ручная передвижная, грузоподъемность: 8 т, высота подъема 12 м
03-01-128-01	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 0,5 т, высота подъема 6 м
03-01-128-02	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 0,5 т, высота подъема 18 м
03-01-128-03	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 1 т, высота подъема 6 м
03-01-128-04	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 1 т, высота подъема 18 м
03-01-128-05	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 1 т, высота подъема 24 м
03-01-128-06	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 1 т, высота подъема 36 м
03-01-128-07	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 2 т, высота подъема 6 м
03-01-128-08	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 2 т, высота подъема 18 м
03-01-128-09	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 2 т, высота подъема 24 м
03-01-128-10	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 2 т, высота подъема 36 м
03-01-128-11	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 3,2 т, высота подъема 6 м
03-01-128-12	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 3,2 т, высота подъема 18 м
03-01-128-13	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 3,2 т, высота подъема 24 м
03-01-128-14	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 3,2 т, высота подъема 36 м
03-01-128-15	03-01-128	Тали электрические	ПОДЪЕМНЫЕ МЕХАНИЗМЫ	10 шт	Таль электрическая канатная, грузоподъемность: 5 т, высота подъема 6 м
