"Канон. ключ","Наименование","Ед.","Итого кол-во","Кол-во источников"
"anker-shpilka_hilti_hst_m10x100","Анкер-шпилька Hilti HST M10x100","шт","42","2"
"dvernoy_blok_dn15l","Дверной блок ДН15Л","шт","","1"
"dvernoy_blok_dv20-1l","Дверной блок ДВ20-1Л","шт","","1"
"gidroizolyatsiya_bitumnaya_obmazochnaya","Гидроизоляция битумная обмазочная","слоя","2","1"
"gnutik_stalnoy_70x70mm_okraska_v_tsvet_metalla_sunsong_snjs-22100","Гнутик стальной 70x70мм. Окраска в цвет металла Sunsong SNJS-22100","шт","11","1"
"khim_anker_anker-shpilka_8x105mm","Хим. анкер + анкер-шпилька 8x105мм","шт","194","4"
"kirpich_polnotelyy_kr-r-po_250x120x65_1nf_150_2_0_50_t_250mm","Кирпич полнотелый КР-р-по 250x120x65/1НФ/150/2,0/50 (т=250мм)","м3","7.13","1"
"kreplenie_ograzhdeniya_-_ministoyki_h_190mm_d_89_mm_polirovannye_nerzhaveyushchaya_stal_l_0","Крепление ограждения - министойки, h=190мм, d=89 мм, полированные нержавеющая сталь L=0","шт","39","4"
"mastika_bitumnaya_tekhnonikol_master","Мастика битумная ТЕХНОНИКОЛЬ MASTER","м2","65","1"
"oblitsovka_plitami_iz_granita","Облицовка плитами из гранита","","","1"
"oblitsovka_plitami_iz_izvestnyaka","Облицовка плитами из известняка","","","1"
"oblitsovka_plitami_iz_naturalnogo_granita_na_kleyu","Облицовка плитами из натурального гранита на клею","","","1"
"obmazochnaya_bitumnaya_gidroizolyatsiya","Обмазочная битумная гидроизоляция","слоя","2","1"
"og-13_l_4_700","ОГ-13, L=4 700","шт","1","1"
"og-14_l_8_910","ОГ-14, L=8 910","шт","13","1"
"og-15_l_1_000","ОГ-15, L=1 000","шт","1","1"
"og-16_1_l_1_410","ОГ-16.1, L=1 410","шт","1","1"
"og-17_l_10_685","ОГ-17, L=10 685","шт","1","1"
"og-18_l_7_085","ОГ-18, L=7 085","шт","1","1"
"og-19_l_9_850","ОГ-19, L=9 850","шт","1","1"
"og-20_l_8_560","ОГ-20, L=8 560","шт","1","1"
"og-21_l_3_320","ОГ-21, L=3 320","шт","1","1"
"og-22_l_3_640","ОГ-22, L=3 640","шт","1","1"
"ograzhdenie_na_lestnitse_iz_stekla_tripleks_8zak-eva-8zak","Ограждение на лестнице из стекла триплекс 8зак-ЕVA-8зак","шт","4","4"
"ograzhdenie_og-14","Ограждение ОГ-14","шт","","1"
"ograzhdenie_stalnoe_okraska_v_tsvet_metalla_sunsong_snjs-22100","Ограждение стальное. Окраска в цвет металла Sunsong SNJS-22100","шт","19","6"
"plastina_stalnaya_t_5mm_230x100","Пластина стальная t=5мм 230x100","шт","100","5"
"polosa_stalnaya_p-obraznaya_gnutaya_s245_8x20_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_2_450","Полоса стальная П-образная гнутая С245:8x20. Окраска в цвет металла Sunsong SNJS-22100, L=2 450","шт","98","5"
"polosa_stalnaya_pryamaya_s245_8x20_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_185","Полоса стальная, прямая С245: 8x20 мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 185","шт","99","5"
"poruchen_metallicheskiy_stalnoy_prutya_30x15mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_410","Поручень металлический стальной прутья 30x15мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 410","шт","1","1"
"stalnaya_plastina_derzhatelya_poruchnya_50x50mm_okraska_v_tsvet_metalla_sunsong_snjs-22100","Стальная пластина держателя поручня 50x50мм. Окраска в цвет металла Sunsong SNJS-22100","шт","11","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_000","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 000","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_10_685","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=10 685","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_4_700","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=4 700","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_7_085","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=7 085","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_8_910","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=8 910","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_3_320","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=3 320","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_3_640","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=3 640","шт","1","1"
