"Канон. ключ","Наименование","Ед.","Итого кол-во","Кол-во источников"
"anker-shpilka_hilti_hst_m10x100","Анкер-шпилька Hilti HST M10x100","шт","33","1"
"bitumnaya_mastika_tekhnonikol_master","Битумная мастика ТЕХНОНИКОЛЬ MASTER","м2","65","1"
"blok_gazobetonnyj_d600","Блок газобетонный D600","","","1"
"blok_iz_yacheistogo_betona_avtoklavnogo_tverdeniya_d500","Блок из ячеистого бетона автоклавного твердения D500","","","1"
"bloki_dvernye_stalnye","Блоки дверные стальные","шт","","1"
"bloki_iz_yacheistogo_betona_avtoklavnogo_tverdeniya","Блоки из ячеистого бетона автоклавного твердения","м3","","1"
"dveri_metallicheskie_protivopozharnye","Двери металлические противопожарные","шт","","1"
"elektrody_e46a","Электроды Э46А","","","1"
"elementy_fasada","Элементы фасада","","","1"
"elementy_ograzhdenij_nch","Элементы ограждений НЧ","","","1"
"emal_pf_115","Эмаль ПФ-115","кг","","1"
"emal_pf-115","Эмаль ПФ-115","","","1"
"fasady_uzly_oblicovki_krylcza_ograzhdeniya","Фасады. Узлы облицовки, крыльца, ограждения","","","1"
"gnutik_stalnoy_70x70mm","Гнутик стальной 70x70 мм","шт","11","1"
"gruntovka_gf_021","Грунтовка ГФ-021","кг","","1"
"gruntovka_gf-021","Грунтовка ГФ-021","","","1"
"ind_izgotovleniya","Инд. изготовления","шт","23","10"
"izdeliya_stenovye_nearmirovannye_iz_yacheistogo_betona_avtoklavnogo_tverdeniya","Изделия стеновые неармированные из ячеистого бетона автоклавного твердения","","","1"
"kamennye_i_armokamennye_konstruktsii","Каменные и армокаменные конструкции","","","1"
"khim_anker_anker-shpilka_8x105mm","Химический анкер с анкер-шпилькой 8x105 мм","шт","28","1"
"kirpich_i_kamen_keramicheskie","Кирпич и камень керамические","м3","","1"
"kirpich_polnotelyj_kr-r-po_250h120h65_1nf_150_2_50","Кирпич полнотелый КР-р-по 250х120х65/1НФ/150/2.0/50","","","1"
"kirpich_polnotelyj_kr-r-po_250x120x65_1nf_150_2_0_50","Кирпич полнотелый КР-р-по 250x120x65/1НФ/150/2,0/50","м3","7.13","1"
"kreplenie_ograzhdeniya_ministoyki_h190mm_d89_mm","Министойка крепления ограждения h=190мм d=89мм нержавеющая сталь","шт","17","1"
"lestnica_l_7","Лестница Л-7","шт","","1"
"lestnichnaya_kletka_l_1","Лестничная клетка Л-1","шт","","1"
"lestnitsa_vertikalnaya","Лестница вертикальная","шт","","1"
"naruzhnaya_lestnica_stroeniya_1","Наружная лестница строения №1","шт","","1"
"oblicovochnyj_naturalnyj_kamen_granit_pod_derevo_t20mm","Облицовочный натуральный камень (гранит) под дерево, т=20мм","м2","57.6","5"
"oblicovochnyj_naturalnyj_kamen_granit_t20mm","Облицовочный натуральный камень (гранит), т=20мм","м2","11.8","2"
"oblicovochnyj_naturalnyj_kamen_granit_t30mm","Облицовочный натуральный камень (гранит), т=30мм","м2","6.3","3"
"oblicovochnyj_naturalnyj_kamen_izvestnyak_t30mm","Облицовочный натуральный камень (известняк), т=30мм","м2","48.5","1"
"ograzhdeniya","Ограждения","","","1"
"ograzhdeniya_lestnichnoj_kletki","Ограждения лестничной клетки","м.п.","","1"
"ograzhdeniya_lestnichnyh_kletok","Ограждения лестничных клеток","шт","","1"
"ograzhdeniya_lestnichnykh_kletok","Ограждения лестничных клеток","","","1"
"ograzhdeniya_metallicheskie_lestnic_balkonov_krysh_lestnichnyh_marshej_i_ploshchadok","Ограждения металлические лестниц, балконов, крыш, лестничных маршей и площадок","м.п.","","1"
"ograzhdeniya_v_otmetkah_51_150_55_350","Ограждения в отметках +51.150 - +55.350","м.п.","","1"
"plastina_stalnaya_t5mm_230x100","Пластина стальная t=5мм 230x100","шт","14","1"
"plity_iz_mineralnoj_vaty_na_sinteticheskom_svyazuyushchem_teploizolyacionnye","Плиты из минеральной ваты на синтетическом связующем теплоизоляционные","м3","","1"
"polosa_stalnaya_p-obraznaya_gnutaya_c245_8x20","Полоса стальная П-образная гнутая С245 8x20 мм","шт","14","1"
"polosa_stalnaya_pryamaya_c245_8x20_mm","Полоса стальная прямая С245 8x20 мм","шт","13","1"
"poruchen_metallicheskiy_stalnoy_30x15mm","Поручень металлический стальной 30x15 мм","шт","1","1"
"poruchni","Поручни","м.п.","","1"
"prokat_armaturnyj_svarivaemyj_periodicheskogo_profilya_klassov_a500s_i_v500s","Прокат арматурный свариваемый периодического профиля классов А500С и В500С","т","","1"
"prokat_sortovoj_stalnoj_goryachekatanyj_polosovoj","Прокат сортовой стальной горячекатаный полосовой","т","","1"
"prut_stalnoy_30x15x2_mm","Прут стальной 30x15x2 мм","шт","1","1"
"rastvor_cementno-peschanyj","Раствор цементно-песчаный","","","1"
"shvy_montazhnye_uzlov_primykaniya_okonnykh_blokov_k_stenovym_proemam","Швы монтажные узлов примыкания оконных блоков к стеновым проемам","","","1"
"specifikaciya_elementov_fasada_stroenie_1_lestnica","Спецификация элементов фасада. Строение 1. Лестница","","","1"
"stalnaya_plastina_derzhatelya_poruchnya_50x50mm","Пластина стальная держателя поручня 50x50 мм","шт","11","1"
"stalnye_konstruktsii","Стальные конструкции","","","1"
"steklyannoe_ograzhdenie","Стеклянное ограждение","шт","","1"
"steklyannoe_ograzhdenie_tripleks_8zak-eva-8zak_1190x10","Стеклянное ограждение триплекс 8зак-EVA-8зак 1190x10","шт","1","1"
"teploizolyaciya_bazaltovaya_negoryuchaya","Теплоизоляция базальтовая негорючая","","","1"
"tspr_styazhka_m150_arm_mel_setkoj_5_vr1","Цементно-песчаная стяжка М150 армированная сеткой 5 Вр1","м3","2.39","1"
"vedomost_ograzhdenij_lestnic_specifikaciya_elementov_ograzhdenij_nch","Ведомость ограждений лестниц Спецификация элементов ограждений НЧ","","","1"
"vitrazhi_naruzhnye_okna","Витражи наружные, окна","","","1"
"zakladnye_detali","Закладные детали","шт","","1"
"zashivka_na_metallicheskom_karkase_knauf_profil_pn_75x40_ps_75x50_gsp_a","Зашивка на металлическом каркасе (КНАУФ-профиль ПН 75x40, КНАУФ-профиль ПС 75x50), двухслойная обшивка КНАУФ-лист ГСП-А","м3","0.65","1"
