"Канон. ключ","Наименование","Ед.","Итого кол-во","Кол-во источников"
"anker_khimicheskiy","Анкер химический","шт","","2"
"anker-shpilka_hilti_hst_m10x100","Анкер-шпилька Hilti HST M10x100","шт","42","2"
"bitumnaya_mastika_tekhnonikol_master","Битумная мастика ТЕХНОНИКОЛЬ MASTER","м2","65","1"
"blok_gazobetonnyj_d600_b3_5_600x100x250","Блок газобетонный D600 B3.5 600х100х250","мм","100","1"
"blok_gazobetonnyj_d600_b3_5_600x150x250","Блок газобетонный D600 B3.5 600х150х250","мм","150","1"
"blok_gazobetonnyj_d600_b3_5_600x200x250","Блок газобетонный D600 B3.5 600х200х250","мм","200","1"
"bloki_dvernye_stalnye","Блоки дверные стальные","шт","","1"
"bloki_iz_yacheistogo_betona_avtoklavnogo_tverdeniya","Блоки из ячеистого бетона автоклавного твердения","м3","","1"
"bloki_iz_yacheistogo_betona_avtoklavnogo_tverdeniya_d500","Блоки из ячеистого бетона автоклавного твердения D500","мм","200","1"
"bloki_iz_yacheistogo_betona_d600","Блоки из ячеистого бетона D600","мм","780","5"
"cpr_styazhka_m150","Цементно-песчаная стяжка М150","мм","20","1"
"cpr_styazhka_m150_20mm","Цементно-песчаная стяжка М150 20 мм","мм","20","1"
"cpr_styazhka_m150_arm_setkoy_5vr1_40mm","Цементно-песчаная стяжка М150 армированная сеткой 5 Вр1 100х100 40 мм","мм","40","1"
"cpr_styazhka_m150_armirovannaya_setkoj_5_vr1","Цементно-песчаная стяжка М150 армированная сеткой 5 Вр1","мм","40","1"
"dekorativnyj_ekran_radiatora","Декоративный экран ниши радиатора отопления","шт","","1"
"dv1_zapolnenie_proema","Заполнение дверного проема ДВ1","шт","","1"
"dveri_metallicheskie_protivopozharnye","Двери металлические противопожарные","шт","","1"
"dvernoy_blok_dn15l","Дверной блок ДН15Л","шт","","1"
"dvernoy_blok_dv20_1l","Дверной блок ДВ20-1Л","шт","","2"
"elektrody_e46a","Электроды Э46А","","","1"
"element_konstrukcii_poz_1","Элемент конструкции поз. 1","","","1"
"element_konstrukcii_poz_2","Элемент конструкции поз. 2","","","1"
"elementy_fasada","Элементы фасада","","","1"
"elementy_fasada_lestnicy_stroeniya_1","Элементы фасада лестницы строения 1","","","1"
"elementy_ograzhdenij_nch","Элементы ограждений НЧ","","","1"
"elementy_ograzhdeniy_lestnic_nch","Элементы ограждений лестниц НЧ","","","1"
"emal_pf_115","Эмаль ПФ-115","кг","","1"
"emal_pf_115","Эмаль ПФ-115","компл","2","1"
"gnutik_stalnoy_70x70mm_okraska_v_tsvet_metalla_sunsong_snjs-22100","Гнутик стальной 70x70мм. Окраска в цвет металла Sunsong SNJS-22100","шт","11","1"
"gruntovka_gf_021","Грунтовка ГФ-021","кг","","1"
"gruntovka_gf_021","Грунтовка ГФ-021","","","1"
"ind_izgotovleniya","Инд. изготовления","шт","23","10"
"izdeliya_stenovye_nearmirovannye_iz_yacheistogo_betona_avtoklavnogo_tverdeniya","Изделия стеновые неармированные из ячеистого бетона автоклавного твердения","","","1"
